Parameter,Value
Temperature,365K
GROMACS D (1e-5 cm^2/s),0.471 +/- 1.3725
Calculated D (1e-5 cm^2/s),2.1969 +/- 0.1858
Method,Flat region of MSD/(6t)
Fit Start Time (ps),50010.0
Fit End Time (ps),200010.0
Fitted Slope (alpha),0.8483073595261056
