Parameter,Value
Temperature,350K
GROMACS D (1e-5 cm^2/s),0.1151 +/- 3.3213
Calculated D (1e-5 cm^2/s),1.8227 +/- 0.0694
Method,Flat region of MSD/(6t)
Fit Start Time (ps),105010.0
Fit End Time (ps),255010.0
Fitted Slope (alpha),1.003363331092258
