Parameter,Value
Temperature,340K
GROMACS D (1e-5 cm^2/s),0.8932 +/- 0.9118
Calculated D (1e-5 cm^2/s),1.1524 +/- 0.0198
Method,Flat region of MSD/(6t)
Fit Start Time (ps),295010.0
Fit End Time (ps),445010.0
Fitted Slope (alpha),0.9773270798598621
