Parameter,Value
Temperature,330K
GROMACS D (1e-5 cm^2/s),3.2629 +/- 2.412
Calculated D (1e-5 cm^2/s),1.8853 +/- 0.1461
Method,Flat region of MSD/(6t)
Fit Start Time (ps),145010.0
Fit End Time (ps),295010.0
Fitted Slope (alpha),1.3639264623256384
