Parameter,Value
Temperature,365K
GROMACS D (1e-5 cm^2/s),0.9759 +/- 0.5885
Calculated D (1e-5 cm^2/s),2.1946 +/- 0.0451
Method,Flat region of MSD/(6t)
Fit Start Time (ps),50010.0
Fit End Time (ps),200010.0
Fitted Slope (alpha),1.0392941567280263
