Parameter,Value
Temperature,350K
GROMACS D (1e-5 cm^2/s),1.4338 +/- 1.5876
Calculated D (1e-5 cm^2/s),1.2260 +/- 0.0932
Method,Flat region of MSD/(6t)
Fit Start Time (ps),85010.0
Fit End Time (ps),235010.0
Fitted Slope (alpha),0.7729241071538485
