Parameter,Value
Temperature,340K
GROMACS D (1e-5 cm^2/s),1.0877 +/- 0.3484
Calculated D (1e-5 cm^2/s),1.1252 +/- 0.0252
Method,Flat region of MSD/(6t)
Fit Start Time (ps),325010.0
Fit End Time (ps),475010.0
Fitted Slope (alpha),1.111744345531611
