Parameter,Value
Temperature,300K
GROMACS D (1e-5 cm^2/s),N/A
Calculated D (1e-5 cm^2/s),1.4300 +/- 0.0799
Method,Flat region of MSD/(6t)
Fit Start Time (ps),70010.0
Fit End Time (ps),220010.0
Fitted Slope (alpha),1.0105415852711022
