Parameter,Value
Temperature,305K
GROMACS D (1e-5 cm^2/s),0.6725 +/- 0.3831
Calculated D (1e-5 cm^2/s),0.9872 +/- 0.0803
Method,Flat region of MSD/(6t)
Fit Start Time (ps),120010.0
Fit End Time (ps),270010.0
Fitted Slope (alpha),0.6587034205495919
