Parameter,Value
Temperature,355K
GROMACS D (1e-5 cm^2/s),0.575 +/- 2.3501
Calculated D (1e-5 cm^2/s),1.7152 +/- 0.0736
Method,Flat region of MSD/(6t)
Fit Start Time (ps),100010.0
Fit End Time (ps),250010.0
Fitted Slope (alpha),0.9473588457117417
