Parameter,Value
Temperature,365K
GROMACS D (1e-5 cm^2/s),2.6261 +/- 2.4017
Calculated D (1e-5 cm^2/s),2.4018 +/- 0.0503
Method,Flat region of MSD/(6t)
Fit Start Time (ps),85010.0
Fit End Time (ps),235010.0
Fitted Slope (alpha),0.9860857945430591
