Parameter,Value
Temperature,325K
GROMACS D (1e-5 cm^2/s),1.8531 +/- 0.8599
Calculated D (1e-5 cm^2/s),1.7674 +/- 0.0219
Method,Flat region of MSD/(6t)
Fit Start Time (ps),240010.0
Fit End Time (ps),390010.0
Fitted Slope (alpha),1.0137614950918012
