Parameter,Value
Temperature,345K
GROMACS D (1e-5 cm^2/s),0.9234 +/- 0.5858
Calculated D (1e-5 cm^2/s),1.1161 +/- 0.0348
Method,Flat region of MSD/(6t)
Fit Start Time (ps),255010.0
Fit End Time (ps),405010.0
Fitted Slope (alpha),0.942977571905161
