Parameter,Value
Temperature,360K
GROMACS D (1e-5 cm^2/s),0.9959 +/- 2.6403
Calculated D (1e-5 cm^2/s),1.9711 +/- 0.0921
Method,Flat region of MSD/(6t)
Fit Start Time (ps),55010.0
Fit End Time (ps),205010.0
Fitted Slope (alpha),0.9768210349008373
