Parameter,Value
Temperature,355K
GROMACS D (1e-5 cm^2/s),0.4291 +/- 1.2843
Calculated D (1e-5 cm^2/s),1.1208 +/- 0.0522
Method,Flat region of MSD/(6t)
Fit Start Time (ps),155010.0
Fit End Time (ps),305010.0
Fitted Slope (alpha),0.7787560884418165
