Parameter,Value
Temperature,320K
GROMACS D (1e-5 cm^2/s),3.6251 +/- 1.1394
Calculated D (1e-5 cm^2/s),2.8625 +/- 0.0923
Method,Flat region of MSD/(6t)
Fit Start Time (ps),225010.0
Fit End Time (ps),375010.0
Fitted Slope (alpha),1.1839717140803392
