Parameter,Value
Temperature,360K
GROMACS D (1e-5 cm^2/s),0.6105 +/- 3.2732
Calculated D (1e-5 cm^2/s),2.0364 +/- 0.0553
Method,Flat region of MSD/(6t)
Fit Start Time (ps),110010.0
Fit End Time (ps),260010.0
Fitted Slope (alpha),1.0595891076694017
