Parameter,Value
Temperature,345K
GROMACS D (1e-5 cm^2/s),3.6819 +/- 1.5755
Calculated D (1e-5 cm^2/s),3.7650 +/- 0.1812
Method,Flat region of MSD/(6t)
Fit Start Time (ps),255010.0
Fit End Time (ps),405010.0
Fitted Slope (alpha),1.1355488881247089
