Parameter,Value
Temperature,330K
GROMACS D (1e-5 cm^2/s),0.9466 +/- 1.4345
Calculated D (1e-5 cm^2/s),1.1295 +/- 0.1002
Method,Flat region of MSD/(6t)
Fit Start Time (ps),250010.0
Fit End Time (ps),400010.0
Fitted Slope (alpha),0.7565858926001309
