Parameter,Value
Temperature,305K
GROMACS D (1e-5 cm^2/s),0.9302 +/- 1.119
Calculated D (1e-5 cm^2/s),0.8364 +/- 0.0638
Method,Flat region of MSD/(6t)
Fit Start Time (ps),140010.0
Fit End Time (ps),290010.0
Fitted Slope (alpha),0.7642991744280924
