Parameter,Value
Temperature,325K
GROMACS D (1e-5 cm^2/s),0.3772 +/- 0.8482
Calculated D (1e-5 cm^2/s),0.6151 +/- 0.0450
Method,Flat region of MSD/(6t)
Fit Start Time (ps),255010.0
Fit End Time (ps),405010.0
Fitted Slope (alpha),0.615731770964012
