Parameter,Value
Temperature,335K
GROMACS D (1e-5 cm^2/s),1.6321 +/- 1.1712
Calculated D (1e-5 cm^2/s),2.0021 +/- 0.0267
Method,Flat region of MSD/(6t)
Fit Start Time (ps),105010.0
Fit End Time (ps),255010.0
Fitted Slope (alpha),0.9936170532740147
