Parameter,Value
Temperature,350K
GROMACS D (1e-5 cm^2/s),1.6305 +/- 2.0336
Calculated D (1e-5 cm^2/s),2.1196 +/- 0.0258
Method,Flat region of MSD/(6t)
Fit Start Time (ps),85010.0
Fit End Time (ps),235010.0
Fitted Slope (alpha),1.0231083242473318
