Parameter,Value
Temperature,365K
GROMACS D (1e-5 cm^2/s),3.7037 +/- 3.5366
Calculated D (1e-5 cm^2/s),2.6332 +/- 0.0593
Method,Flat region of MSD/(6t)
Fit Start Time (ps),135010.0
Fit End Time (ps),285010.0
Fitted Slope (alpha),0.9947014092094827
