Parameter,Value
Temperature,345K
GROMACS D (1e-5 cm^2/s),0.5683 +/- 0.395
Calculated D (1e-5 cm^2/s),0.7966 +/- 0.0191
Method,Flat region of MSD/(6t)
Fit Start Time (ps),255010.0
Fit End Time (ps),405010.0
Fitted Slope (alpha),0.8985560051315071
