Parameter,Value
Temperature,305K
GROMACS D (1e-5 cm^2/s),0.7161 +/- 0.5596
Calculated D (1e-5 cm^2/s),1.0481 +/- 0.0925
Method,Flat region of MSD/(6t)
Fit Start Time (ps),105010.0
Fit End Time (ps),255010.0
Fitted Slope (alpha),0.6730923402390705
