Parameter,Value
Temperature,320K
GROMACS D (1e-5 cm^2/s),3.4914 +/- 0.8449
Calculated D (1e-5 cm^2/s),2.7390 +/- 0.1145
Method,Flat region of MSD/(6t)
Fit Start Time (ps),235010.0
Fit End Time (ps),385010.0
Fitted Slope (alpha),1.2704250099943897
