Parameter,Value
Temperature,325K
GROMACS D (1e-5 cm^2/s),0.3076 +/- 0.9434
Calculated D (1e-5 cm^2/s),0.9629 +/- 0.0356
Method,Flat region of MSD/(6t)
Fit Start Time (ps),95010.0
Fit End Time (ps),245010.0
Fitted Slope (alpha),1.066861489889141
